"site","date","count","treatment"
"M-5",2024-05-31,103,"mine"
"M-5",2024-06-01,135,"mine"
"M-5",2024-06-02,366,"mine"
"M-5",2024-06-03,352,"mine"
"M-5",2024-06-04,142,"mine"
"M-5",2024-06-05,129,"mine"
"M-5",2024-06-06,207,"mine"
"M-5",2024-06-07,65,"mine"
"M-5",2024-06-08,148,"mine"
"M-5",2024-06-09,63,"mine"
"M-5",2024-06-10,74,"mine"
"M-5",2024-06-11,173,"mine"
"M-5",2024-06-12,267,"mine"
"M-5",2024-06-13,63,"mine"
"M-5",2024-06-14,236,"mine"
"M-5",2024-06-15,71,"mine"
"M-5",2024-06-16,74,"mine"
"M-5",2024-06-17,45,"mine"
"M-5",2024-06-18,76,"mine"
"M-5",2024-06-19,53,"mine"
"M-5",2024-06-20,3,"mine"
"M-5",2024-06-21,19,"mine"
"M-5",2024-06-22,37,"mine"
"M-5",2024-06-23,68,"mine"
"M-5",2024-06-24,45,"mine"
"M-5",2024-06-25,138,"mine"
"M-5",2024-06-26,372,"mine"
"M-5",2024-06-27,230,"mine"
"M-5",2024-06-28,128,"mine"
"M-7",2024-03-10,0,"mine"
"M-7",2024-03-11,0,"mine"
"M-7",2024-03-12,0,"mine"
"M-7",2024-03-13,0,"mine"
"M-7",2024-03-14,1,"mine"
"M-7",2024-03-15,3,"mine"
"M-7",2024-03-16,0,"mine"
"M-7",2024-03-17,0,"mine"
"M-7",2024-03-18,0,"mine"
"M-7",2024-03-19,1,"mine"
"M-7",2024-03-20,30,"mine"
"M-7",2024-03-21,11,"mine"
"M-7",2024-03-22,9,"mine"
"M-7",2024-03-23,94,"mine"
"M-7",2024-03-24,2,"mine"
"M-7",2024-03-25,115,"mine"
"M-7",2024-03-26,2,"mine"
"M-7",2024-03-27,142,"mine"
"M-7",2024-03-28,5,"mine"
"M-7",2024-03-29,0,"mine"
"M-7",2024-03-30,59,"mine"
"M-7",2024-03-31,62,"mine"
"M-7",2024-04-01,81,"mine"
"M-7",2024-04-02,38,"mine"
"M-7",2024-04-03,2,"mine"
"M-7",2024-04-04,0,"mine"
"M-7",2024-04-05,0,"mine"
"M-7",2024-04-06,0,"mine"
"M-7",2024-04-07,10,"mine"
"M-7",2024-04-08,14,"mine"
"M-7",2024-04-09,29,"mine"
"M-7",2024-04-10,38,"mine"
"M-7",2024-04-11,0,"mine"
"M-7",2024-04-12,1,"mine"
"M-7",2024-04-13,22,"mine"
"M-7",2024-04-14,51,"mine"
"M-7",2024-04-15,155,"mine"
"M-7",2024-04-16,122,"mine"
"M-7",2024-04-17,88,"mine"
"M-7",2024-04-18,171,"mine"
"M-7",2024-04-19,150,"mine"
"M-7",2024-04-20,155,"mine"
"M-7",2024-04-21,58,"mine"
"M-7",2024-04-22,294,"mine"
"M-7",2024-04-23,87,"mine"
"M-7",2024-04-24,179,"mine"
"M-7",2024-04-25,97,"mine"
"M-7",2024-04-26,43,"mine"
"M-7",2024-04-27,124,"mine"
"M-7",2024-04-28,86,"mine"
"M-7",2024-04-29,59,"mine"
"M-7",2024-04-30,11,"mine"
"M-7",2024-05-01,110,"mine"
"M-7",2024-05-02,67,"mine"
"M-7",2024-05-03,120,"mine"
"M-7",2024-05-04,105,"mine"
"M-7",2024-05-05,157,"mine"
"M-7",2024-05-06,267,"mine"
"M-7",2024-05-07,140,"mine"
"M-7",2024-05-08,95,"mine"
"M-7",2024-05-09,28,"mine"
"M-7",2024-05-10,59,"mine"
